Geo Point;Geo Shape;FID;NCESID;NAME;ADDRESS;ADDRESS2;CITY;STATE;ZIP;ZIP4;TELEPHONE;TYPE;STATUS;POPULATION;COUNTY;COUNTYFIPS;COUNTRY;NAICS_CODE;NAICS_DESC;SOURCE;SOURCE_DAT;VAL_METHOD;VAL_DATE;WEBSITE;LEVEL;ENROLLMENT;START GRAD;END GRADE;DISTRICT_I;FULL_TIME_;SHELTER_ID
42.882337703,-73.194128196;"{""type"": ""Point"", ""coordinates"": [-73.19412819599994, 42.88233770300006]}";18796;01422054;THE SCHOOL OF SACRED HEART ST FRANCIS DE SALES;307 SCHOOL ST;;BENNINGTON;VT;05201;2558;;1;1;146;BENNINGTON;50003;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01422054;2010-01-28T19:00:00-05:00;Imagery;2010-05-16T20:00:00-04:00;;Elementary;134;PK;08;;12;
44.382634923,-73.241362645;"{""type"": ""Point"", ""coordinates"": [-73.24136264499997, 44.38263492300005]}";19352;A9504239;RENAISSANCE SCHOOL;SHELBURNE FARMS;;SHELBURNE;VT;05482;7697;;1;1;70;CHITTENDEN;50007;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504239;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Elementary;61;KG;06;;9;
44.420600291,-72.005037631;"{""type"": ""Point"", ""coordinates"": [-72.00503763099992, 44.420600291000014]}";18836;A0702332;CORNERSTONE SCHOOL;510 PORTLAND ST;;SAINT JOHNSBURY;VT;05819;2055;;4;1;29;CALEDONIA;50005;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0702332;2010-01-28T19:00:00-05:00;Imagery/Other;2010-08-23T20:00:00-04:00;;Combined elementary and secondary;24;02;11;;5;
42.931342502,-73.245786097;"{""type"": ""Point"", ""coordinates"": [-73.24578609699994, 42.93134250200006]}";18816;A9106775;SOUTHSHIRE COMMUNITY SCHOOL;24 BANK ST;;NORTH BENNINGTON;VT;05257;;;6;1;40;BENNINGTON;50003;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106775;2009-10-12T20:00:00-04:00;Imagery;2010-05-16T20:00:00-04:00;;Combined elementary and secondary;37;UG;UG;;3;
44.261457239,-72.559958893;"{""type"": ""Point"", ""coordinates"": [-72.55995889299997, 44.26145723900003]}";21061;A0903665;RIVER ROCK SCHOOL;46 BARRE ST;;MONTPELIER;VT;05602;;;6;1;42;WASHINGTON;50023;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0903665;2012-03-06T19:00:00-05:00;Imagery;2012-06-17T20:00:00-04:00;;Combined elementary and secondary;39;UG;UG;;3;
43.143133411,-72.5093601;"{""type"": ""Point"", ""coordinates"": [-72.50936009999997, 43.14313341100005]}";19575;01422258;VERMONT ACADEMY;10 LONG WALK;;SAXTONS RIVER;VT;05154;4500;;1;1;258;WINDHAM;50025;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01422258;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Secondary;223;08;12;;35;
44.420377145,-72.01769123;"{""type"": ""Point"", ""coordinates"": [-72.01769122999995, 44.42037714500001]}";19322;A9904337;GOOD SHEPHERD CATHOLIC SCHOOL;121 MAPLE ST;;SAINT JOHNSBURY;VT;05819;;;1;1;164;CALEDONIA;50005;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9904337;2009-10-12T20:00:00-04:00;Imagery/Other;2010-12-27T19:00:00-05:00;;Elementary;151;PK;08;;13;10775709
43.643758995,-72.427702221;"{""type"": ""Point"", ""coordinates"": [-72.42770222099993, 43.64375899500003]}";19589;A9300994;MID VERMONT CHRISTIAN SCHOOL;399 W GILSON AVE;;WHITE RIVER JUNCTION;VT;05001;9527;;1;1;114;WINDSOR;50027;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9300994;2010-01-28T19:00:00-05:00;Imagery;2010-06-09T20:00:00-04:00;;Combined elementary and secondary;99;PK;12;;15;
44.55932392,-72.61170234;"{""type"": ""Point"", ""coordinates"": [-72.61170233999995, 44.55932392000005]}";19459;A0109579;BISHOP JOHN A MARSHALL SCHOOL;680 LAPORTE RD;;MORRISVILLE;VT;05661;;;1;1;125;LAMOILLE;50015;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0109579;2010-01-28T19:00:00-05:00;Imagery;2010-08-23T20:00:00-04:00;;Elementary;112;PK;08;;13;
43.516847772,-73.238964174;"{""type"": ""Point"", ""coordinates"": [-73.23896417399997, 43.51684777200005]}";26788;A1102262;LIHIGH SCHOOL;307 MAIN ST;;POULTNEY;VT;05764;;;6;1;15;RUTLAND;50021;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A1102262;2014-10-22T20:00:00-04:00;Imagery/Other;2014-12-14T19:00:00-05:00;;Secondary;9;08;12;;6;
44.569920146,-72.505063844;"{""type"": ""Point"", ""coordinates"": [-72.50506384399993, 44.56992014600006]}";26794;A1102270;WOLCOTT MENNONITE SCHOOL;1337 VT ROUTE 15;;MORRISVILLE;VT;05680;;;1;1;28;LAMOILLE;50015;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A1102270;2014-10-22T20:00:00-04:00;Imagery/Other;2014-12-14T19:00:00-05:00;;Combined elementary and secondary;25;01;10;;3;
43.12180247,-72.436156676;"{""type"": ""Point"", ""coordinates"": [-72.43615667599992, 43.12180247000002]}";19566;A0109624;COMPASS SCHOOL;7892 W ROUTE 5;;WESTMINSTER STATION;VT;05159;9755;;1;1;89;WINDHAM;50025;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0109624;2010-01-28T19:00:00-05:00;Imagery/Other;2010-08-23T20:00:00-04:00;;Secondary;79;07;12;;10;
42.856858955,-72.561902846;"{""type"": ""Point"", ""coordinates"": [-72.56190284599994, 42.85685895500005]}";19581;01422542;MEADOWS SCHOOL;1 ANNA MARSH LN;;BRATTLEBORO;VT;05301;;;4;1;43;WINDHAM;50025;US;611110;Elementary and Secondary Schools;http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01422542;2009-10-12T20:00:00-04:00;Imagery/Other;2009-12-30T19:00:00-05:00;;Combined elementary and secondary;34;KG;11;;9;
